pseudoID,course_data,course_num,year,quarter_num,quarter_text,section
A159363570430,20171-38103-03,38103,2017,1,Winter,03
A159363570430,20171-42001-01,42001,2017,1,Winter,01
A165643484243,20164-30000-04,30000,2016,4,Autumn,04
A165643484243,20164-33001-07,33001,2016,4,Autumn,07
A165643484243,20164-41100-01,41100,2016,4,Autumn,01
A165643484243,20171-35000-02,35000,2017,1,Winter,02
A165643484243,20171-38001-02,38001,2017,1,Winter,02
A165643484243,20171-38002-02,38002,2017,1,Winter,02
A1717164240819,20164-30000-04,30000,2016,4,Autumn,04
A1717164240819,20164-33002-01,33002,2016,4,Autumn,01
A1717164240819,20164-41100-03,41100,2016,4,Autumn,03
A1717164240819,20171-35000-02,35000,2017,1,Winter,02
A1717164240819,20171-38103-02,38103,2017,1,Winter,02
A1717164240819,20171-41204-01,41204,2017,1,Winter,01
A1717164240819,20171-42001-01,42001,2017,1,Winter,01
A16582426475,20164-33002-01,33002,2016,4,Autumn,01
A16582426475,20164-41100-03,41100,2016,4,Autumn,03
A16582426475,20164-42001-01,42001,2016,4,Autumn,01
A16582426475,20171-35000-01,35000,2017,1,Winter,01
A16582426475,20171-36106-01,36106,2017,1,Winter,01
A16582426475,20171-38103-03,38103,2017,1,Winter,03
A16582426475,20171-40000-02,40000,2017,1,Winter,02
A17565466450,20164-35000-02,35000,2016,4,Autumn,02
A17565466450,20164-38001-01,38001,2016,4,Autumn,01
A17565466450,20164-40000-01,40000,2016,4,Autumn,01
A17565466450,20164-42001-02,42001,2016,4,Autumn,02
A17565466450,20171-37000-02,37000,2017,1,Winter,02
A17565466450,20171-38103-01,38103,2017,1,Winter,01
A17565466450,20171-41100-81,41100,2017,1,Winter,81
A167804524345,20164-30000-03,30000,2016,4,Autumn,03
A167804524345,20164-37000-03,37000,2016,4,Autumn,03
A167804524345,20164-42001-01,42001,2016,4,Autumn,01
A167804524345,20171-34722-81,34722,2017,1,Winter,81
A167804524345,20171-35000-05,35000,2017,1,Winter,05
A167804524345,20171-37101-01,37101,2017,1,Winter,01
A167804524345,20171-42117-02,42117,2017,1,Winter,02
A168604264630,20164-30000-07,30000,2016,4,Autumn,07
A168604264630,20164-33001-03,33001,2016,4,Autumn,03
A168604264630,20164-37000-01,37000,2016,4,Autumn,01
A168604264630,20164-41000-03,41000,2016,4,Autumn,03
A168604264630,20171-35000-01,35000,2017,1,Winter,01
A168604264630,20171-37201-81,37201,2017,1,Winter,81
A168604264630,20171-38001-01,38001,2017,1,Winter,01
A168804316162,20164-30000-07,30000,2016,4,Autumn,07
A168804316162,20164-33001-02,33001,2016,4,Autumn,02
A168804316162,20164-41000-04,41000,2016,4,Autumn,04
A168804316162,20171-35000-05,35000,2017,1,Winter,05
A168804316162,20171-37000-01,37000,2017,1,Winter,01
A168804316162,20171-38002-01,38002,2017,1,Winter,01
A17104441341440,20164-33002-01,33002,2016,4,Autumn,01
A17104441341440,20164-41000-04,41000,2016,4,Autumn,04
A17104441341440,20164-42001-01,42001,2016,4,Autumn,01
A17104441341440,20171-30001-02,30001,2017,1,Winter,02
A17104441341440,20171-30130-01,30130,2017,1,Winter,01
A17104441341440,20171-35000-02,35000,2017,1,Winter,02
A183274158160,20164-30000-01,30000,2016,4,Autumn,01
A183274158160,20164-33001-02,33001,2016,4,Autumn,02
A183274158160,20164-37000-01,37000,2016,4,Autumn,01
A183274158160,20164-41000-01,41000,2016,4,Autumn,01
A183274158160,20171-38001-02,38001,2017,1,Winter,02
A183274158160,20171-40000-01,40000,2017,1,Winter,01
A183274158160,20171-42001-03,42001,2017,1,Winter,03
A18600388821,20164-30000-05,30000,2016,4,Autumn,05
A18600388821,20164-38103-03,38103,2016,4,Autumn,03
A18600388821,20164-41100-03,41100,2016,4,Autumn,03
A18600388821,20171-40000-02,40000,2017,1,Winter,02
A18600388821,20171-42001-02,42001,2017,1,Winter,02
A18600388821,20171-42703-01,42703,2017,1,Winter,01
A1915994620117,20164-30000-07,30000,2016,4,Autumn,07
A1915994620117,20164-33001-04,33001,2016,4,Autumn,04
A1915994620117,20164-35200-01,35200,2016,4,Autumn,01
A1915994620117,20171-30116-01,30116,2017,1,Winter,01
A1915994620117,20171-35201-82,35201,2017,1,Winter,82
A1915994620117,20171-35210-01,35210,2017,1,Winter,01
A19720478527,20164-30000-05,30000,2016,4,Autumn,05
A19720478527,20164-33001-04,33001,2016,4,Autumn,04
A19720478527,20164-41000-03,41000,2016,4,Autumn,03
A19720478527,20171-33040-02,33040,2017,1,Winter,02
A19720478527,20171-35000-04,35000,2017,1,Winter,04
A19720478527,20171-38001-02,38001,2017,1,Winter,02
A19720478527,20171-42001-03,42001,2017,1,Winter,03
A198654400372,20164-30130-81,30130,2016,4,Autumn,81
A198654400372,20164-33101-01,33101,2016,4,Autumn,01
A198654400372,20164-35200-01,35200,2016,4,Autumn,01
A198654400372,20171-37000-02,37000,2017,1,Winter,02
A198654400372,20171-38103-04,38103,2017,1,Winter,04
A198654400372,20171-42001-82,42001,2017,1,Winter,82
A198854895616,20164-33001-06,33001,2016,4,Autumn,06
A198854895616,20164-41100-04,41100,2016,4,Autumn,04
A198854895616,20164-42001-03,42001,2016,4,Autumn,03
A198854895616,20171-30000-01,30000,2017,1,Winter,01
A198854895616,20171-37000-01,37000,2017,1,Winter,01
A198854895616,20171-38103-01,38103,2017,1,Winter,01
A198854895616,20171-42117-01,42117,2017,1,Winter,01
A211552508495,20164-33101-81,33101,2016,4,Autumn,81
A211552508495,20164-38001-02,38001,2016,4,Autumn,02
A211552508495,20164-41000-03,41000,2016,4,Autumn,03
A211552508495,20171-30116-01,30116,2017,1,Winter,01
A211552508495,20171-35000-01,35000,2017,1,Winter,01
A211552508495,20171-37000-02,37000,2017,1,Winter,02
A22435487224,20164-30000-06,30000,2016,4,Autumn,06
A22435487224,20164-33001-03,33001,2016,4,Autumn,03
A22435487224,20164-35000-02,35000,2016,4,Autumn,02
A22435487224,20164-41100-03,41100,2016,4,Autumn,03
A22435487224,20171-30116-01,30116,2017,1,Winter,01
A22435487224,20171-40000-02,40000,2017,1,Winter,02
A22435487224,20171-41203-01,41203,2017,1,Winter,01
A237653894609,20164-33101-01,33101,2016,4,Autumn,01
A237653894609,20164-33520-01,33520,2016,4,Autumn,01
A237653894609,20164-41100-02,41100,2016,4,Autumn,02
A237653894609,20171-30116-01,30116,2017,1,Winter,01
A237653894609,20171-30130-02,30130,2017,1,Winter,02
A237653894609,20171-35000-01,35000,2017,1,Winter,01
A239734425192,20164-30000-04,30000,2016,4,Autumn,04
A239734425192,20164-33001-07,33001,2016,4,Autumn,07
A239734425192,20164-41000-02,41000,2016,4,Autumn,02
A239734425192,20171-35000-04,35000,2017,1,Winter,04
A239734425192,20171-37000-81,37000,2017,1,Winter,81
A239734425192,20171-38002-01,38002,2017,1,Winter,01
A239734425192,20171-42001-02,42001,2017,1,Winter,02
A2411065220639,20164-30000-05,30000,2016,4,Autumn,05
A2411065220639,20164-33101-01,33101,2016,4,Autumn,01
A2411065220639,20164-41100-04,41100,2016,4,Autumn,04
A2411065220639,20171-33503-01,33503,2017,1,Winter,01
A2411065220639,20171-35000-04,35000,2017,1,Winter,04
A2411065220639,20171-37000-02,37000,2017,1,Winter,02
A254054026105,20164-30000-05,30000,2016,4,Autumn,05
A254054026105,20164-33101-01,33101,2016,4,Autumn,01
A254054026105,20164-38001-01,38001,2016,4,Autumn,01
A254054026105,20164-41000-05,41000,2016,4,Autumn,05
A254054026105,20171-37000-02,37000,2017,1,Winter,02
A254054026105,20171-38002-81,38002,2017,1,Winter,81
A254054026105,20171-40000-81,40000,2017,1,Winter,81
A254054026105,20171-42001-02,42001,2017,1,Winter,02
A256123965333,20164-30000-05,30000,2016,4,Autumn,05
A256123965333,20164-38103-03,38103,2016,4,Autumn,03
A256123965333,20164-42001-01,42001,2016,4,Autumn,01
A256123965333,20171-34722-81,34722,2017,1,Winter,81
A256123965333,20171-37000-02,37000,2017,1,Winter,02
A256123965333,20171-40000-81,40000,2017,1,Winter,81
A256123965333,20171-42117-02,42117,2017,1,Winter,02
A25652508235,20164-33001-01,33001,2016,4,Autumn,01
A25652508235,20164-37000-01,37000,2016,4,Autumn,01
A25652508235,20164-42001-01,42001,2016,4,Autumn,01
A25652508235,20171-35000-05,35000,2017,1,Winter,05
A25652508235,20171-37201-01,37201,2017,1,Winter,01
A25652508235,20171-40000-01,40000,2017,1,Winter,01
A257385002328,20164-33001-04,33001,2016,4,Autumn,04
A257385002328,20164-34705-01,34705,2016,4,Autumn,01
